草创未就　就极刑而无愠色
杜郎俊赏 算而今 重到须惊
纵豆蔻词工 青楼梦好 难赋深情
二十四桥仍在 波心荡 冷月无声
念桥边红药 年年知为谁生
晓来谁染霜林醉 总是离人泪
晓来谁染霜林醉 总是离人泪
喇叭 唢呐 曲儿小腔儿大
曲儿小腔儿大
官船来往乱如麻 全仗你抬声价
眼见的吹翻了这家 吹伤了那家 只吹的水尽鹅飞罢 
只吹的水尽鹅飞罢
 仁义不施 使秦复爱六国之人     
今以钟磬置水中 虽大风浪不能鸣也
万里赴戎机     关山度若飞（戎马关山北，凭轩涕泗流/晨上散关山，此道当何难）
女娲炼石补天处   银瓶乍破水浆迸
落木千山天远大   澄江一道月分明
（示例1）朱弦已为佳人绝   青眼聊因美酒横
下有冲波逆折之回川     飞湍瀑流争喧豗     
故不积跬步     无以至千里     
无边落木萧萧下     枫叶荻花秋瑟瑟
见贤思齐焉     见不贤而内自省也     
乘骐骥以驰骋兮     来吾道夫先路     
登东皋以舒啸     临清流而赋诗（借书满架，偃仰啸歌/莫听穿林打叶声，何妨吟啸且徐行/怀旧空吟闻笛赋，到乡翻似烂柯人）
寄蜉蝣于天地     渺沧海之一粟     
青泥何盘盘     百步九折萦岩峦     
多于机上之工女     多于九土之城郭
正赤如丹     下有红光动摇承之     
蛾儿雪柳黄金缕     江州司马青衫湿     
举酒欲饮无管弦     终岁不闻丝竹声（吴丝蜀桐张高秋/二十三丝动紫皇）
为国以礼     其言不让     
（是故）弟子不必不如师     师不必贤于弟子     
佛狸祠下     一片神鸦社鼓
欲流之长者     必浚其泉源     
落木千山天远大     澄江一道月分明     
金戈铁马     气吞万里如虎（银瓶乍破水浆迸  铁骑突出刀枪鸣/牙璋辞凤阙  铁骑绕龙城）
扪参历井仰胁息     以手抚膺坐长叹     
狗吠深巷中     鸡鸣桑树颠     
星垂平野阔     月涌大江流  （月明星稀，乌鹊南飞/日星隐曜，山岳潜形/星汉灿烂，若出其里/五更鼓角声悲壮，三峡星河影动摇）
一夫作难而七庙隳     身死人手     
过春风十里     尽荠麦青青     
戎马关山北     凭轩涕泗流 (人生自古谁无死，留取丹心照汗青/先天下之忧而忧，后天下之乐而乐/国破山河在，城春草木深)
锲而不舍     金石可镂     
青山遮不住     毕竟东流去     
（示例1）春风得意马蹄疾     一日看尽长安花。
前辟四窗     垣墙周庭     
羁鸟恋旧林  （望云惭高鸟）     但见悲鸟号古木  （渚清沙白鸟飞回）     
塞上长城空自许     镜中衰鬓已先斑 （映阶碧草自春色，隔叶黄鹂空好音/少妇城南欲断肠，征人蓟北空回首）
寄蜉蝣于天地     渺沧海之一粟     
石破天惊逗秋雨     大弦嘈嘈如急雨     
玉鉴琼田三万顷     着我扁舟一叶（谁家今夜扁舟子，何处相思明月楼)
吾问养树     得养人术     
汉家烟尘在东北     汉将辞家破残贼     
人面不知何处去     桃花依旧笑春风（宫女如花满春殿，只今惟有鹧鸪飞。/过春风十里，尽荠麦青青。）
敏于事而慎于言     就有道而正焉     
千里澄江似练     翠峰如簇     
夕阳无限好     只是近黄昏  （夕阳西下，断肠人在天涯/朱雀桥边野草花，乌衣巷口夕阳斜/青山依旧在，几度夕阳红）
舍南舍北皆春水     但见群鸥日日来     
极天云一线异色     须臾成五采     
示例一：昆山玉碎凤凰叫     芙蓉泣露香兰笑
废池乔木     犹厌言兵     
金就砺则利     而半山居雾若带然     
冰泉冷涩弦凝绝     凝绝不通声暂歇（蜀道之难，难于上青天）
夫祸患常积于忽微     而智勇多困于所溺     
倚南窗以寄傲     审容膝之易安     
极天云一线异色     须臾成五采
霓为衣兮风为马     仙之人兮列如麻     
其称文小而其指极大     举类迩而见义远     
万里归船弄长笛     羌笛何须怨杨柳（谁家玉笛暗飞声/长笛一声人倚楼）
事不目见耳闻     而臆断其有无     
新帖绣罗襦     双双金鹧鸪     
空里流霜不觉飞     汀上白沙看不见（晓来谁染霜林醉？总是离人泪）
君子博学而日参省乎己     则知明而行无过矣     
至丹以荆卿为计     始速祸焉     
惊涛拍岸     卷起千堆雪（怒涛卷霜雪，天堑无涯；/惊涛来似雪，一坐凛生寒）
小鸟时来啄食     人至不去     
惧满溢则思江海下百川     乐盘游则思三驱以为度     
无边落木萧萧下     不尽长江滚滚来（落木千山天远大  澄江一道月分明）
前太守臣逵察臣孝廉     后刺史臣荣举臣秀才     
管弦呕哑     呕哑嘲哳难为听     
示例：渐黄昏 清角吹寒；梧桐更兼细雨，到黄昏（或到黄昏，点点滴滴）
士不可以不弘毅     任重而道远     
与子同仇     与子偕行     
驾一叶之扁舟     举匏樽以相属（玉鉴琼田三万顷，著我扁舟一叶）
新贴（帖）绣罗襦     双双金鹧鸪     
爪其肤以验其生枯     摇其本以观其疏密     
淮水东边旧时月     夜深还过女墙来（此情可待成追忆，只是当时已惘然/六朝旧事随流水，但寒烟衰草凝绿/去年今日此门中，人面桃花相映红）
锦城虽云乐     不如早还家     
廊腰缦回     檐牙高啄     
狗吠深巷中     鸡鸣桑树颠（示例二：半壁见海日，空中闻天鸡。示例三：风急天高猿啸哀，渚清沙白鸟飞回。）
乌鸟私情     愿乞终养     
花径不曾缘客扫     蓬门今始为君开     
明月半墙     桂影斑驳(桂影斑驳，风移影动/吴质不眠倚桂树，露脚斜飞湿寒兔/有三秋桂子，十里荷花/山寺月中寻桂子，郡亭枕上看潮头/人闲桂花落，夜静春山空)
力恶其不出于身也     不必为己     
问长缨何时入手     缚将戎主     
于是饮酒乐甚     扣舷而歌之（扣舷独啸，不知今夕何夕/清夜何悠悠，扣舷明月中）
己所不欲     勿施于人    
男儿本自重横行     天子非常赐颜色     
落叶他乡树     寒灯独夜人（乱山残雪夜，孤独异乡人/鸡声茅店月，人迹板桥霜）
鸿雁长飞光不度     鱼龙潜跃水成文     
别有幽愁暗恨生     此时无声胜有声（远看山有色，近听水无声/随风潜入夜，润物细无声）     
登东皋以舒啸/啸傲东轩下     弹琴复长啸/扣舷独啸/何妨吟啸且徐行
浴乎沂 风乎舞雩
以吾一日长乎尔  不吾知也   如或知尔  则何以哉
千乘之国  摄乎大国之间   因之以饥馑  且知方也
端章甫    愿为小相焉
为国以礼   其言不让
浴乎沂  风乎舞雩 咏而归 
以吾一日长乎尔，毋吾以也  
夫子哂之  
夫子喟然叹曰   吾与点也    
为国以礼，其言不让  
率尔而对  如其礼乐  以俟君子  非曰能之，愿学焉  宗庙之事  如会同  端章甫    愿为小相焉    鼓瑟希   铿尔   舍瑟而作
老吾老，以及人之老；幼吾幼，以及人之幼
必使仰足以事父母，俯足以畜妻子，乐岁终身饱，凶年免于死亡
老者衣帛食肉，黎民不饥不寒
谨庠序之教，申之以孝悌之义
谨庠序之教，申之以孝悌之义
颁白者不负戴于道路矣。
臣之所好者道也，近乎技矣。
方今之时，臣以神遇而不以目视，官知止而神欲行
怵然为戒，视为止，行为迟，动刀甚微。
提刀而立，为之四顾，为之踌躇满志，善刀而藏之    
臣闻吏议逐客，窃以为过矣 
是以太山不让土壤，故能成其大
河海不择细流，故能就其深
非秦者去，为客者逐
然则是所重者在乎色乐珠玉，而所轻者在乎人民
此非所以跨海内制诸侯之术也
民以殷盛，国以富强
是使国无富利之实,而秦无强大之名也
向使四君却客而不内，疏士而不用
此四君者，皆以客之功
王者不却众庶,故能明其德
击瓮叩缶，弹筝搏髀
呜呼! 灭六国者六国也，非秦也；族秦者秦也，非天下也。
秦人不暇自哀，而后人哀之;后人哀之而不鉴之，亦使后人而复哀后人也。
后人哀之而不鉴之，亦使后人而复哀后人也。
覆压三百余里，隔离天日。  
歌台暖响，春光融融；舞殿冷袖，风雨凄凄。
明星荧荧，开妆镜也。
六王毕，四海一；蜀山兀，阿房出。
一人之心，千万人之心也。秦爱纷奢，人亦念其家。
奈何取之尽锱铢，用之如泥沙？
灭六国者六国也，非秦也。族秦者秦也，非天下也。  
非兵不利，战不善，弊在赂秦。 暴霜露，斩荆棘   与赢而不助五国也 至丹以荆卿为计，始速祸焉  下而从六国破亡之故事，是又在六国下也
族秦者秦也，非天下也  为国者无使为积威之所劫哉
则必有我师  犹抱薪救火，薪不尽，火不灭 
灭六国者六国也   族秦者秦也，非天下也    弊在赂秦
则吾恐秦人食之不得下咽也  想当年，金戈铁马，气吞万里如虎 
以赂秦之地封天下之谋臣，以事秦之心礼天下之奇才
至丹以荆卿为计，始速祸焉  
弊在赂秦  后人哀之而不鉴之，亦使后人而复哀后人也 
苟以天下之大，下而从六国破亡之故事，是又在六国下也
洎牧以谗诛，邯郸为郡，惜其用武而不终也
竭诚则吴越为一体，傲物则骨肉为行路。
夫在殷忧必竭诚以待下，既得志则纵情以傲物；竭诚则吴越为一体，傲物则骨肉为行路。
斯亦伐根以求木茂，塞源而欲流长也。  
思国之安者，必积其德义
求木之长者，必固其根本；欲流之远者，必浚其泉源；思国之安者，必积其德义。
源不深而望流之远，根不固而求木之长，德不厚而思国之安    
念高危则思谦冲而自牧；
惧满溢则思江海下百川
乐盘游则思三驱以为度
忧懈怠则思慎始而敬终     
恩所加则思无因喜以谬赏；罚所及，则思无以怒而滥刑。
虑壅蔽则思虚心以纳下；
夫在殷忧必竭诚以待下，既得志则纵情以傲物；竭诚则吴越为一体，傲物则骨肉为行路。
虽董之以严刑，震之以威怒，终苟免而不怀仁，貌恭而不心服。
有善始者实繁，能克终者盖寡
简能而任之，择善而从之
臣虽下愚，知其不可，而况于明哲乎？
有善始者实繁，能克终者盖寡
斯亦伐根以求木茂，塞源而欲流长也
则智者尽其谋，勇者竭其力，仁者播其惠，信者效其忠
怨不在大，可畏惟人；载舟覆舟，所宜深慎。  
举先王之政，以兴利除弊，不为生事
为天下理财，不为征利
辟邪说，难壬人，不为拒谏  
而议事每不合，所操之术多异故也
名实已明，而天下之理得矣
受命于人主，议法度而修之于朝廷，以授之于有司
人习于苟且非一日，士大夫多以不恤国事同俗自媚于众为善    
庚不为怨者故改其度，度义而后动，是而不见可悔故也。
度义而后动，是而不见可悔故也。
如日今日当一切不事事，守前所为而已，则非某之所敢知。
昔闻洞庭水，今上岳阳楼
亲朋无一字，老病有孤舟
戎马关山北，凭轩涕泗流
吴楚东南坼，乾坤日夜浮
戎马关山北，凭轩涕泗流
吴楚东南坼，乾坤日夜浮 
乾坤日夜浮   老病有孤舟  
登临送目，正故国晚秋，天气初肃
正故国晚秋，天气初肃
千里澄江似练，翠峰如簇 
千里澄江似练   翠峰如簇
彩舟云淡，星河鹭起
彩舟云淡，星河鹭起  
归帆去棹残阳里，背西风，酒旗斜矗。
彩舟云淡，星河鹭起
念往昔豪华竞逐，叹门外楼头，悲恨相续
叹门外楼头，悲恨相续   
千古凭高对此，谩嗟荣辱
六朝旧事随流水，但寒烟衰草凝绿
至今商女，时时犹唱，后庭遗曲
归帆去棹残阳里，背西风，酒旗斜矗。 
洞庭青草，近中秋，更无一点风色
更无一点风色
玉鉴琼田三万顷 
玉鉴琼田三万顷，著我扁舟一叶
悠然心会，妙处难与君说
素月分辉，明河共影，表里俱澄澈。/ 怡然心会，妙处难于君说。
应念岭表经年，孤光自照，肝肺皆冰雪
肝肺皆冰雪
明河共影，表里俱澄澈
素月分辉，明河共影
短发萧骚襟袖冷，稳泛沧浪空阔
尽挹西江，细斟北斗，万象为宾客。
扣舷独啸，不知今夕何夕。   
原来姹紫嫣红开遍，似这般都付与断井颓垣 
良辰美景奈何天，赏心乐事谁家院 
朝飞暮卷，云霞翠轩；雨丝风片，  烟波画船
锦屏人忒看的这韶光贱  
怅寥廓    问苍茫大地    谁主沉浮    
携来百侣曾游    忆往昔峥嵘岁月稠    
指点江山    激扬文字    粪土当年万户侯    
到中流击水    浪遏飞舟
鹰击长空    鱼翔浅底  
书生意气    挥斥方遒    
独立寒秋    湘江北去    橘子洲头    
鹰击长空    鱼翔浅底  
问苍茫大地    谁主沉浮   
携来百侣曾游    忆往昔峥嵘岁月稠    
曾记否    到中流击水    浪遏飞舟    
漫江碧透    百舸争流
携来百侣曾游    忆往昔峥嵘岁月稠    
指点江山    激扬文字     
书生意气    挥斥方遒     
鹰击长空    鱼翔浅底 
采采芣苢    薄言采之    
薄言掇之    薄言捋之    
薄言袺之    薄言襭之    
采采芣苢    薄言掇之 
月明星稀，乌鹊南飞，绕树三匝，何枝可依    
对酒当歌，人生几何，譬如朝露，去日苦多    
慨当以慷，忧思难忘，何以解忧，唯有杜康  
呦呦鹿鸣     食野之苹    我有嘉宾    鼓瑟吹笙    
明明如月     何时可掇    忧从中来    不可断绝    
山不厌高     海不厌深
山不厌高    海不厌深    
譬如朝露    去日苦多    
青青子衿    悠悠我心    
明明如月    何时可掇 
周公吐哺    天下归心   
青青子衿    悠悠我心
月明星稀    乌鹊南飞
周公吐哺    天下归心 
少无适俗韵    性本爱丘山    
户庭无尘杂    虚室有余闲    
榆柳荫后檐    桃李罗堂前  
狗吠深巷中    鸡鸣桑树颠
开荒南野际    守拙归园田
羁鸟恋旧林    池鱼思故渊
榆柳荫后檐   桃李罗堂前 
少无适俗韵    性本爱丘山   
暧暧远人村    依依墟里烟    
狗吠深巷中    鸡鸣桑树颠    
久在樊笼里    复得返自然
湖月照我影   送我至剡溪    
安能摧眉折腰事权贵    使我不得开心颜    
霓为衣兮风为马   虎鼓瑟兮鸾回车    
我欲因之梦吴越   一夜飞度镜湖月    
忽魂悸以魄动   恍惊起而长嗟    惟觉时之枕席    失向来之烟霞   
且放白鹿青崖间    须行即骑访名山 
半壁见海日    空中闻天鸡
湖月照我影    送我至剡溪
世间行乐亦如此    古来万事东流水 
天姥连天向天横    势拔五岳掩赤城 天台四万八千丈    对此欲倒东南倾
谢公宿处今尚在    渌水荡漾清猿啼
洞天石扉    訇然中开    青冥浩荡不见底    日月照耀金银台
 安能摧眉折腰事权贵    使我不得开心颜  
霓为衣兮风为马    虎鼓瑟兮鸾回车
云青青兮欲雨    水澹澹兮生烟
虎鼓瑟兮鸾回车   
安能摧眉折腰事权贵  使我不得开心颜
万里悲秋常作客   百年多病独登台    
艰难苦恨繁霜鬓   潦倒新停浊酒杯    
无边落木萧萧下   百年多病独登台
风急天高猿啸哀    渚清沙白鸟飞回   
万里悲秋常作客    百年多病独登台    
风急天高猿啸哀    渚清沙白鸟飞回
无边落木萧萧下    不尽长江滚滚来   
万里悲秋常作客    百年多病独登台    
艰难苦恨繁霜鬓    潦倒新停浊酒杯
浔阳江头夜送客    枫叶荻花秋瑟瑟    
千呼万唤始出来    犹抱琵琶半遮面    
同是天涯沦落人    相逢何必曾相识    
间关莺语花底滑    幽咽泉流冰下难 
醉不成欢惨将别    别时茫茫江浸月   
银瓶乍破水浆迸    铁骑突出刀枪鸣    
五陵年少争缠头    一曲红绡不知数    
转轴拨弦三两声    未成曲调先有情
春江花朝秋月夜    往往取酒还独倾    
夜深忽梦少年事    梦啼妆泪红阑干    
东船西舫悄无言    唯见江心秋月白
浔阳江头夜送客    枫叶荻花秋瑟瑟    
嘈嘈切切错杂弹    大珠小珠落玉盘    
去来江口守空船    绕船月明江水寒    
同是天涯沦落人    相逢何必曾相识 
千呼万唤始出来    犹抱琵琶半遮面    
满座重闻皆掩泣    江州司马青衫湿    
岂无山歌与村笛    呕哑嘲哳难为听    
东船西舫悄无言    唯见江心秋月白  
间关莺语花底滑    幽咽泉流冰下难    
轻拢慢捻抹复挑    初为《霓裳》后《六幺》    
间关莺语花底滑    银瓶乍破水浆迸    铁骑突出刀枪鸣    冰泉冷涩弦凝绝  
大江东去    浪淘尽    千古风流人物    
乱石穿空    惊涛拍岸    卷起千堆雪    
小乔初嫁了    羽扇纶巾    
谈笑间    樯橹灰飞烟灭   
人生如梦    一尊还酹江月    
江山如画    一时多少豪杰 
谈笑间    樯橹灰飞烟灭     
江山如画    一时多少豪杰    
人生如梦    一尊还酹江月
谈笑间    樯橹灰飞烟灭    
乱石穿空    惊涛拍岸    卷起千堆雪    
人生如梦    一尊还酹江月    
人生如梦，    一尊还酹江月。    
谈笑间，    樯橹灰飞烟灭。    
小乔初嫁了，    雄姿英发。    
多情应笑我，    早生华发。
封狼居胥    赢得仓皇北顾    
千古江山英雄    无觅孙仲谋处
凭谁问    廉颇老矣    尚能饭否 
廉颇老矣    尚能饭否   
金戈铁马    气吞万里如虎   
佛狸祠下    一片神鸦社鼓
金戈铁马    气吞万里如虎   
元嘉草草   封狼居胥   赢得仓皇北顾
舞榭歌台，风流总被雨打风吹去
元嘉草草，封狼居胥，赢得仓皇北顾    
佛狸祠下，一片神鸦社鼓    
廉颇老矣，尚能饭否    
寻寻觅觅    冷冷清清    凄凄惨惨戚戚    
三杯两盏淡酒    怎敌他    晚来风急    
梧桐更兼细雨    到黄昏    点点滴滴  
这次第    怎一个愁字了得    
梧桐更兼细雨    到黄昏    
梧桐更兼细雨，    到黄昏点点滴滴。    
寻寻觅觅    冷冷清清    凄凄惨惨戚戚 
 这次第    怎一个愁字了得    
寻寻觅觅    冷冷清清    凄凄惨惨戚戚    
梧桐更兼细雨    到黄昏    点点滴滴 
君子博学而日参省乎己，则知明而行无过矣    
